"payment_month","user_id","game_name","total_revenue","new_mrr","expansion_revenue","contraction_revenue","back_from_churn_revenue","churned_revenue","churn_month","language","has_older_device_model","age"
2022-11-01,"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,24.84,,,-31.20,,24.84,2022-12-01,ru,false,18
2022-08-01,"2onLVyXEEj2aH+D4N9ldYQ==",game 3,50.04,50.04,,,,50.04,2022-09-01,uk,false,16
2022-10-01,"2onLVyXEEj2aH+D4N9ldYQ==",game 3,42.72,,,,42.72,,,uk,false,16
2022-11-01,"2onLVyXEEj2aH+D4N9ldYQ==",game 3,22.68,,,-20.04,,,,uk,false,16
2022-12-01,"2onLVyXEEj2aH+D4N9ldYQ==",game 3,106.38,,83.70,,,106.38,2023-01-01,uk,false,16
2022-04-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,54.96,54.96,,,,,,uk,false,23
2022-05-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,72.06,,17.10,,,,,uk,false,23
2022-06-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,25.35,,,-46.71,,,,uk,false,23
2022-07-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,38.10,,12.75,,,38.10,2022-08-01,uk,false,23
2022-09-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,12.12,,,,12.12,,,uk,false,23
2022-10-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,21.87,,9.75,,,,,uk,false,23
2022-11-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,15.99,,,-5.88,,15.99,2022-12-01,uk,false,23
2022-03-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,23.76,23.76,,,,,,ru,false,16
2022-04-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,81.42,,57.66,,,,,ru,false,16
2022-05-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,15.69,,,-65.73,,,,ru,false,16
2022-06-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,34.35,,18.66,,,,,ru,false,16
2022-07-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,50.58,,16.23,,,,,ru,false,16
2022-08-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,97.08,,46.50,,,,,ru,false,16
2022-09-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,18.72,,,-78.36,,18.72,2022-10-01,ru,false,16
2022-06-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,74.85,74.85,,,,74.85,2022-07-01,uk,false,16
2022-08-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,20.19,,,,20.19,,,uk,false,16
2022-09-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,48.27,,28.08,,,,,uk,false,16
2022-10-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,29.22,,,-19.05,,29.22,2022-11-01,uk,false,16
2022-10-01,"3KSfEl7FcP/+5FSUNXs5Aw==",game 3,23.31,23.31,,,,23.31,2022-11-01,ru,false,28
2022-12-01,"3OXz+Ar2gN+zfGLZTRCVMQ==",game 3,18.9,18.9,,,,18.9,2023-01-01,uk,false,16
2022-05-01,"3rCdNEPkh3vwmYB0BVadEw==",game 3,22.86,22.86,,,,22.86,2022-06-01,ru,false,27
2022-07-01,"3rCdNEPkh3vwmYB0BVadEw==",game 3,21.87,,,,21.87,,,ru,false,27
2022-08-01,"3rCdNEPkh3vwmYB0BVadEw==",game 3,17.34,,,-4.53,,17.34,2022-09-01,ru,false,27
2022-11-01,"3TfpxDVNF0T+g4S60EOCBw==",game 3,15.27,15.27,,,,15.27,2022-12-01,uk,false,28
2022-11-01,"3v8rT35Ra6ui/zatnMoTIw==",game 3,17.85,17.85,,,,,,uk,false,28
2022-12-01,"3v8rT35Ra6ui/zatnMoTIw==",game 3,43.62,,25.77,,,43.62,2023-01-01,uk,false,28
2022-04-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,59.67,59.67,,,,,,uk,true,21
2022-05-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,12.36,,,-47.31,,,,uk,true,21
2022-06-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,20.13,,7.77,,,,,uk,true,21
