"payment_month","user_id","game_name","revenue_amount","revenue_type","language","has_older_device_model","age"
2022-09-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,12.12,revenue,uk,false,23
2022-10-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,21.87,revenue,uk,false,23
2022-11-01,"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,15.99,revenue,uk,false,23
2022-03-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,23.76,revenue,ru,false,16
2022-04-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,81.42,revenue,ru,false,16
2022-05-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,15.69,revenue,ru,false,16
2022-06-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,34.35,revenue,ru,false,16
2022-07-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,50.58,revenue,ru,false,16
2022-08-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,97.08,revenue,ru,false,16
2022-09-01,"3iITAz/ADjFv3PDTgTjxSg==",game 3,18.72,revenue,ru,false,16
2022-06-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,74.85,revenue,uk,false,16
2022-08-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,20.19,revenue,uk,false,16
2022-09-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,48.27,revenue,uk,false,16
2022-10-01,"3KHhqZr7/1n2+bTP13WuXA==",game 3,29.22,revenue,uk,false,16
2022-10-01,"3KSfEl7FcP/+5FSUNXs5Aw==",game 3,23.31,revenue,ru,false,28
2022-12-01,"3OXz+Ar2gN+zfGLZTRCVMQ==",game 3,18.9,revenue,uk,false,16
2022-05-01,"3rCdNEPkh3vwmYB0BVadEw==",game 3,22.86,revenue,ru,false,27
2022-07-01,"3rCdNEPkh3vwmYB0BVadEw==",game 3,21.87,revenue,ru,false,27
2022-08-01,"3rCdNEPkh3vwmYB0BVadEw==",game 3,17.34,revenue,ru,false,27
2022-11-01,"3TfpxDVNF0T+g4S60EOCBw==",game 3,15.27,revenue,uk,false,28
2022-11-01,"3v8rT35Ra6ui/zatnMoTIw==",game 3,17.85,revenue,uk,false,28
2022-12-01,"3v8rT35Ra6ui/zatnMoTIw==",game 3,43.62,revenue,uk,false,28
2022-04-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,59.67,revenue,uk,true,21
2022-05-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,12.36,revenue,uk,true,21
2022-06-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,20.13,revenue,uk,true,21
2022-07-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,15.78,revenue,uk,true,21
2022-08-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,17.16,revenue,uk,true,21
2022-09-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,19.74,revenue,uk,true,21
2022-12-01,"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,26.73,revenue,uk,true,21
2022-06-01,"3Xuq0acIoGEgw19qflIoog==",game 3,12.69,revenue,uk,false,25
2022-07-01,"3Xuq0acIoGEgw19qflIoog==",game 3,41.73,revenue,uk,false,25
2022-08-01,"3Xuq0acIoGEgw19qflIoog==",game 3,19.86,revenue,uk,false,25
2022-09-01,"3Xuq0acIoGEgw19qflIoog==",game 3,34.32,revenue,uk,false,25
2022-10-01,"3Xuq0acIoGEgw19qflIoog==",game 3,30.9,revenue,uk,false,25
2022-03-01,"4b7l8C489HEJirtoe7xtFg==",game 3,27.15,revenue,uk,true,20
2022-04-01,"4b7l8C489HEJirtoe7xtFg==",game 3,14.94,revenue,uk,true,20
2022-05-01,"4b7l8C489HEJirtoe7xtFg==",game 3,26.40,revenue,uk,true,20
2022-06-01,"4b7l8C489HEJirtoe7xtFg==",game 3,22.83,revenue,uk,true,20
2022-07-01,"4b7l8C489HEJirtoe7xtFg==",game 3,89.28,revenue,uk,true,20
2022-08-01,"4b7l8C489HEJirtoe7xtFg==",game 3,16.56,revenue,uk,true,20
2022-09-01,"4b7l8C489HEJirtoe7xtFg==",game 3,18.24,revenue,uk,true,20
2022-11-01,"4b7l8C489HEJirtoe7xtFg==",game 3,31.26,revenue,uk,true,20
2022-12-01,"4b7l8C489HEJirtoe7xtFg==",game 3,21.75,revenue,uk,true,20
2022-03-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,17.79,revenue,ru,false,20
2022-04-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,125.97,revenue,ru,false,20
2022-05-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,91.68,revenue,ru,false,20
2022-06-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,27.87,revenue,ru,false,20
2022-07-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,40.71,revenue,ru,false,20
2022-08-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,47.91,revenue,ru,false,20
2022-09-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,23.34,revenue,ru,false,20
2022-12-01,"4btLP2zvi8eBV0t08fdkKQ==",game 3,92.10,revenue,ru,false,20
2022-09-01,"4EiWC2ewiX2A7i9NuBAefQ==",game 3,18.69,revenue,uk,true,18
2022-10-01,"4EiWC2ewiX2A7i9NuBAefQ==",game 3,57.39,revenue,uk,true,18
2022-11-01,"4EiWC2ewiX2A7i9NuBAefQ==",game 3,29.79,revenue,uk,true,18
2022-05-01,"4oH5e29koOH9zNYW8Kwcsg==",game 3,12.99,revenue,uk,false,28
2022-07-01,"4oH5e29koOH9zNYW8Kwcsg==",game 3,18.06,revenue,uk,false,28
2022-08-01,"4oH5e29koOH9zNYW8Kwcsg==",game 3,12.51,revenue,uk,false,28
2022-06-01,"4pssft0TgDfiQexjbe25lw==",game 3,14.76,revenue,ru,false,26
2022-07-01,"4pssft0TgDfiQexjbe25lw==",game 3,14.43,revenue,ru,false,26
2022-08-01,"4pssft0TgDfiQexjbe25lw==",game 3,59.40,revenue,ru,false,26
2022-11-01,"4pssft0TgDfiQexjbe25lw==",game 3,37.80,revenue,ru,false,26
2022-11-01,"54ouP7lBhVCeV8ftS1Oj4Q==",game 3,29.22,revenue,ru,false,21
